doc_id,replydate,likes
160730,2015-09-04,1
192662,2015-09-04,2
38659,2015-09-04,1
128884,2015-09-04,4
9830,2015-09-04,2
160315,2015-09-04,1
95553,2015-09-04,1
17749,2015-09-04,1
35064,2015-09-04,1
37438,2015-09-04,3
140605,2015-09-04,3
189727,2015-09-04,5
7707,2015-09-04,1
29093,2015-09-04,1
87429,2015-09-04,4
151889,2015-09-04,1
155422,2015-09-04,2
19135,2015-09-04,1
174970,2015-09-04,3
191606,2015-09-04,1
95694,2015-09-04,1
206263,2015-09-04,2
47224,2015-09-04,1
195864,2015-09-04,1
27024,2015-09-04,4
172218,2015-09-03,5
17749,2015-09-03,1
162537,2015-09-03,1
144416,2015-09-03,1
112889,2015-09-03,1
170812,2015-09-03,1
18475,2015-09-03,1
160315,2015-09-03,1
192404,2015-09-03,1
162475,2015-09-03,2
185266,2015-09-03,1
152839,2015-09-03,1
171664,2015-09-03,4
123102,2015-09-03,3
73086,2015-09-03,3
37438,2015-09-03,2
39434,2015-09-03,1
43031,2015-09-03,2
3388,2015-09-03,1
155422,2015-09-03,1
126653,2015-09-03,1
29093,2015-09-03,2
192662,2015-09-03,6
27024,2015-09-03,1
8999,2015-09-03,1
140605,2015-09-03,2
30942,2015-09-03,1
128884,2015-09-03,3
201333,2015-09-03,2
190139,2015-09-03,2
55377,2015-09-03,1
42919,2015-09-03,1
87429,2015-09-03,5
19135,2015-09-03,1
95694,2015-09-03,3
44958,2015-09-03,1
193285,2015-09-03,2
95553,2015-09-03,1
140576,2015-09-03,1
27024,2015-09-02,3
174970,2015-09-02,1
151889,2015-09-02,5
192662,2015-09-02,3
64436,2015-09-02,1
9830,2015-09-02,3
91588,2015-09-02,1
51806,2015-09-02,1
128884,2015-09-02,2
28575,2015-09-02,3
160315,2015-09-02,1
118893,2015-09-02,1
89089,2015-09-02,1
8999,2015-09-02,1
123102,2015-09-02,4
144416,2015-09-02,2
37062,2015-09-02,1
152839,2015-09-02,4
55377,2015-09-02,4
112889,2015-09-02,1
42581,2015-09-02,1
162475,2015-09-02,3
19135,2015-09-02,4
178336,2015-09-02,1
172887,2015-09-02,1
24140,2015-09-02,1
42919,2015-09-02,1
171664,2015-09-02,4
201333,2015-09-02,1
201152,2015-09-02,1
153051,2015-09-02,1
172218,2015-09-02,2
123212,2015-09-02,1
96231,2015-09-02,2
35064,2015-09-02,2
708,2015-09-02,1
138876,2015-09-02,1
52953,2015-09-02,1
9830,2015-09-01,1
162475,2015-09-01,4
19428,2015-09-01,1
123102,2015-09-01,1
151889,2015-09-01,2
55377,2015-09-01,1
38659,2015-09-01,2
144416,2015-09-01,1
42919,2015-09-01,1
43801,2015-09-01,2
8999,2015-09-01,2
28575,2015-09-01,2
27024,2015-09-01,2
160315,2015-09-01,2
15437,2015-09-01,1
420676,2015-09-01,1
174970,2015-09-01,1
171664,2015-09-01,6
118893,2015-09-01,2
192404,2015-09-01,1
44958,2015-09-01,1
172218,2015-09-01,1
52953,2015-09-01,2
73456,2015-09-01,1
128884,2015-09-01,1
8617,2015-09-01,1
95553,2015-09-01,1
172887,2015-09-01,3
27296,2015-09-01,1
35064,2015-09-01,1
160315,2015-08-31,3
73086,2015-08-31,2
28575,2015-08-31,2
52953,2015-08-31,1
171664,2015-08-31,2
124544,2015-08-31,1
95694,2015-08-31,2
195864,2015-08-31,1
8617,2015-08-31,5
41586,2015-08-31,1
195067,2015-08-31,1
51806,2015-08-31,7
174970,2015-08-31,2
140605,2015-08-31,2
200898,2015-08-31,1
35064,2015-08-31,1
162475,2015-08-31,1
24140,2015-08-31,1
9141,2015-08-31,1
29093,2015-08-31,2
172218,2015-08-31,2
118893,2015-08-31,3
58980,2015-08-31,1
170812,2015-08-31,1
164189,2015-08-31,1
42919,2015-08-31,2
128884,2015-08-31,1
172887,2015-08-31,1
190139,2015-08-31,1
155422,2015-08-31,1
52953,2015-08-30,3
118893,2015-08-30,1
708,2015-08-30,2
9830,2015-08-30,3
178336,2015-08-30,2
58980,2015-08-30,1
74801,2015-08-30,2
19663,2015-08-30,1
128884,2015-08-30,2
174970,2015-08-30,1
8617,2015-08-30,1
160315,2015-08-30,4
44958,2015-08-30,1
172218,2015-08-30,4
51806,2015-08-30,1
162475,2015-08-30,2
52324,2015-08-30,1
39434,2015-08-30,1
80,2015-08-30,1
19428,2015-08-29,1
19135,2015-08-29,1
174970,2015-08-29,4
128884,2015-08-29,3
3412,2015-08-29,1
35064,2015-08-29,2
52324,2015-08-29,1
44958,2015-08-29,1
172218,2015-08-29,5
1306,2015-08-29,1
51806,2015-08-29,1
57405,2015-08-29,1
171664,2015-08-29,1
162475,2015-08-29,6
52953,2015-08-29,4
155275,2015-08-29,1
43801,2015-08-29,1
24970,2015-08-29,1
174970,2015-08-28,3
128884,2015-08-28,5
4779,2015-08-28,2
94019,2015-08-28,2
19135,2015-08-28,2
35064,2015-08-28,1
164189,2015-08-28,2
74801,2015-08-28,1
118893,2015-08-28,2
41586,2015-08-28,1
178336,2015-08-28,2
149806,2015-08-28,2
95694,2015-08-28,2
19734,2015-08-28,1
44958,2015-08-28,1
171664,2015-08-28,3
194675,2015-08-28,1
162475,2015-08-28,1
52953,2015-08-28,5
160315,2015-08-28,1
15105,2015-08-28,1
3760,2015-08-28,2
40137,2015-08-28,1
172218,2015-08-28,8
67622,2015-08-28,1
51806,2015-08-28,1
160730,2015-08-28,3
52324,2015-08-28,2
124544,2015-08-28,3
19428,2015-08-28,5
24970,2015-08-28,9
420676,2015-08-28,1
140605,2015-08-28,1
34088,2015-08-28,1
128884,2015-08-27,4
51806,2015-08-27,2
140605,2015-08-27,2
37438,2015-08-27,2
15919,2015-08-27,1
1306,2015-08-27,1
9830,2015-08-27,1
73086,2015-08-27,1
19734,2015-08-27,2
8617,2015-08-27,1
188813,2015-08-27,1
174970,2015-08-27,4
45250,2015-08-27,1
160315,2015-08-27,4
162475,2015-08-27,4
44958,2015-08-27,2
172218,2015-08-27,9
164189,2015-08-27,1
67622,2015-08-27,1
19428,2015-08-27,11
171664,2015-08-27,6
45537,2015-08-27,1
35496,2015-08-27,1
15437,2015-08-27,1
140684,2015-08-27,1
420676,2015-08-27,1
52953,2015-08-27,5
9141,2015-08-27,1
73456,2015-08-27,2
46228,2015-08-27,1
42919,2015-08-27,1
34088,2015-08-27,1
